Classification,Feeding type,Mean,Median
Predator,insectivorous,-0.19768531886863,-0.155625491649087
Prey,insectivorous,-9.88425018851949,-10.0267857688806
Size ratio,insectivorous,-9.68656486965086,-9.52333765087504
Predator,piscivorous,7.71223438647515,7.97246601597457
Prey,piscivorous,1.63552827510992,1.81807677754543
Size ratio,piscivorous,-6.07670611136523,-5.61677109766657
Predator,planktivorous,-2.8444155291803,-3.83506196429202
Prey,planktivorous,-12.5130564338295,-13.9524764130374
Size ratio,planktivorous,-9.66864090464924,-9.83051853266954
Predator,predacious,4.77986971956941,6.4118182677099
Prey,predacious,-3.46728830472342,-1.66600826392249
Size ratio,predacious,-8.24715802429282,-8.32505158844131
Predator,predacious/piscivorous,6.06403752213459,6.38012253689976
Prey,predacious/piscivorous,2.41088614444964,2.61006979274201
Size ratio,predacious/piscivorous,-3.65315137768494,-3.71028336277709
